SN 2007le 1430.54   17.845 041 15.926 007 14.672 007 14.696 008 16.498 010 15.114 008
SN 2007le 1435.53   18.146 044 16.229 006 15.031 005 15.075 006 16.770 008 15.450 006
SN 2007le 1440.55   18.257 041 16.405 006 15.284 005 15.379 006 16.922 010 15.673 006
SN 2007le 1443.62              16.475 007 15.397 004 15.522 006 16.984 010 15.767 005
SN 2007le 1445.54   18.315 030 16.518 008 15.461 008 15.611 010 16.998 010 15.822 008
SN 2007le 1449.54   18.391 065 16.593 007 15.598 004 15.784 006 17.033 010 15.940 006
SN 2007le 1455.53   18.477 070 16.690 008 15.804 006 16.016 008 17.124 014 16.093 008
SN 2007le 1456.54   18.404 085 16.700 008 15.840 008 16.047 008 17.176 017 16.122 008
SN 2007le 1457.52   18.623 058 16.704 008 15.873 007 16.090 008 17.167 021 16.167 010
SN 2007le 1466.52   18.624 037 16.864 008 16.165 007 16.412 008 17.238 021 16.395 014
SN 2007le 1470.54   18.679 036 16.934 008 16.283 008 16.559 010 17.357 012 16.486 010
SN 2008bc 1539.81   17.531 021 16.553 006 16.426 005 16.688 007            16.540 008
SN 2008bc 1539.81                                                          16.523 005
SN 2008bc 1540.58 a 17.227 014 16.366 005 16.241 008 16.471 008 16.487 007 16.343 006
SN 2008bc 1541.66   16.911 010 16.116 007 16.018 008 16.246 008 16.242 008 16.135 008
SN 2008bc 1542.55   16.716 008 15.987 006 15.898 008 16.121 010 16.104 006 15.977 007
SN 2008bc 1543.59   16.560 010 15.854 004 15.772 007 16.035 008 15.970 005 15.850 007
SN 2008bc 1545.67   16.372 010 15.663 007 15.597 008 15.936 010 15.777 007 15.655 008
SN 2008bc 1547.58   16.304 010 15.574 008 15.518 010 15.947 014 15.684 007 15.553 008
SN 2008bc 1548.57   16.279 010 15.550 005 15.466 005 15.950 006 15.668 005 15.522 004
SN 2008bc 1549.57   16.316 010 15.530 006 15.452 007 15.994 007 15.667 006 15.504 006
SN 2008bc 1551.68   16.419 008 15.558 004 15.427 005 16.044 008 15.703 005 15.489 007
SN 2008bc 1552.68   16.473 008 15.570 004 15.435 005 16.086 006 15.728 005 15.507 004
SN 2008bc 1558.55   16.923 008 15.786 007 15.663 008 16.357 012 16.004 006 15.685 006
SN 2008bc 1560.60   17.138 012 15.909 007 15.829 008 16.549 012 16.148 006 15.796 008
SN 2008bc 1562.60   17.394 012 16.054 008 15.974 010 16.714 012 16.332 006 15.913 008
SN 2008bc 1564.60   17.633 016 16.212 005 16.111 007 16.860 008 16.534 005 16.045 005
SN 2008bc 1566.62   17.897 016 16.384 006 16.188 008 16.888 008 16.756 007 16.160 008
